Friday,BILLIE EILISH,22:15 - 23:45,PYRAMID STAGE
Friday,SAM FENDER,20:15 - 21:15,PYRAMID STAGE
Friday,ROBERT PLANT & ALISON KRAUSS,18:15 - 19:15,PYRAMID STAGE
Friday,WOLF ALICE,16:45 - 17:45,PYRAMID STAGE
Friday,CROWDED HOUSE,15:15 - 16:15,PYRAMID STAGE
Friday,RUFUS WAINWRIGHT,13:45 - 14:45,PYRAMID STAGE
Friday,ZIGGY MARLEY,12:15 - 13:15,PYRAMID STAGE
Friday,FOALS,22:30 - 23:45,OTHER STAGE
Friday,ST. VINCENT,20:30 - 21:30,OTHER STAGE
Friday,IDLES,18:45 - 19:45,OTHER STAGE
Friday,SUPERGRASS,17:15 - 18:15,OTHER STAGE
Friday,FIRST AID KIT,15:45 - 16:45,OTHER STAGE
Friday,BLOSSOMS,14:15 - 15:15,OTHER STAGE
Friday,KAE TEMPEST,13:00 - 13:45,OTHER STAGE
Friday,THE LIBERTINES,11:30 - 12:30,OTHER STAGE
Friday,LITTLE SIMZ,22:15 - 23:45,WEST HOLTS STAGE
Friday,BONOBO,20:30 - 21:30,WEST HOLTS STAGE
Friday,SEUN KUTI & EGYPT 80,19:00 - 20:00,WEST HOLTS STAGE
Friday,TLC,17:30 - 18:30,WEST HOLTS STAGE
Friday,SLEAFORD MODS,16:00 - 17:00,WEST HOLTS STAGE
Friday,GREENTEA PENG,14:30 - 15:30,WEST HOLTS STAGE
Friday,AROOJ AFTAB,13:00 - 14:00,WEST HOLTS STAGE
Friday,NUBIYAN TWIST,11:30 - 12:30,WEST HOLTS STAGE
Friday,PRIMAL SCREAM,22:30 - 23:45,JOHN PEEL STAGE
Friday,THE JESUS AND MARY CHAIN,21:00 - 22:00,JOHN PEEL STAGE
Friday,PHOEBE BRIDGERS,19:30 - 20:30,JOHN PEEL STAGE
Friday,SIGRID,18:00 - 19:00,JOHN PEEL STAGE
Friday,GIRL IN RED,16:30 - 17:30,JOHN PEEL STAGE
Friday,INHALER,15:15 - 16:00,JOHN PEEL STAGE
Friday,GRIFF,14:00 - 14:45,JOHN PEEL STAGE
Friday,BAD BOY CHILLER CREW,12:45 - 13:30,JOHN PEEL STAGE
